SiteID,Institute,Station name,County_ISO3,County_ISO2
OSD123,"Institution- Israel Oceanographic and Limnological Research, National institute of Oceanography",Shikmona,ISR,IL
OSD124,Kyoto University,Osaka Bay,JPN,JP
OSD125,"Dove Marine Laboratory, School of Marine Science and Technology, Newcastle University",Dove Marine Laboratory Cullercoats Beach,GBR,GB
OSD126,Jacobs University Bremen and University of Akureyri,Eyafjordur_1,ISL,IS
OSD127,Jacobs University Bremen and University of Akureyri,Eyafjordur_2,ISL,IS
OSD128,Jacobs University Bremen and University of Akureyri,Eyafjordur_3,ISL,IS
OSD129,Jacobs University Bremen and University of Akureyri,Eyafjordur_4,ISL,IS
OSD130,Jacobs University Bremen and University of Akureyri,Eyafjordur_5,ISL,IS
OSD131,"Institute of Biodiversity and Ecosystem Research, Bulgarian Academy of Sciences",Zlatna ribka,BGR,BG
OSD132,Institution Bar ilan university,Sdot YAM,ISR,IL
OSD133,Lwandle Technologies,Robben Island,ZAF,ZA
OSD135,Centro de Investigación en Alimentación y Desarrollo A.C.,Guaymas Bay,MEX,MX
OSD136,DTU Bioengineering,Jyllinge Habour,DNK,DK
OSD137,DTU Bioengineering,Helsinore Habour,DNK,DK
OSD132,Bar-Ilan University,Sdot Yam Israel,ISR,IL
OSD141,Department of Biology. University of Bergen,Raunefjorden Norway,NOR,NO
OSD142,NOAA,Gray’s Reef National Marine Sanctuary,USA,US
OSD143,"Skidaway Institute of Oceanography, University of Georgia",Skidaway Institute of Oceanography,GEO,GE
OSD144,Hawaiian Island Humpback Whale National Marine Sanctuary,Maunalua Bay O'ahu,USA,US
OSD145,Datafable,North Sea - Blankenberge,BEL,BE
OSD146,Alfred Wegener Institute Helmholtz Center for Polar and Marine Research,Fram Strait,DEU,DE
OSD147,"Faculty of Applied Sciences, Rajarata, University of Sri Lanka, Mihintale",Rajarata,LKA,LK
OSD148,Institut fuer Chemie und Biologie des Meeres (ICBM) at Carl von Ossietzky Universitaet Oldenburg,Wadden Sea,DEU,DE
OSD149,Institut de Ciències del Mar,Laguna Rocha Norte,ESP,ES
OSD150,Institut Ruđer Bošković Rovinj,Laguna Rocha Sur,HRV,HR
OSD151,Instituto Português do Mar e da Atmosfera,South Atlantic Microbial Observatory,PRT,PT
OSD152,Dalhousie University,Bedford Basin Canada,CAN,CA
OSD153,Centre of Marine Sciences,Faro Island Portugal,PRT,PT
