Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR52	ERR53	ERR54	ERR55	ERR56	ERR57	ERR58	ERR59	ERR6	ERR62	ERR63	ERR64	ERR65	ERR66	ERR67	ERR68	ERR7	ERR8	ERR9
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	None	None	None	8.0	2.0	None	1.0	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	1.0	None	None	1.0	None	None	None	None	None	3.0	None	None	None	None	4.0	None	None	None	1.0	None	None	None	None	5.0	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Patescibacteria	Patescibacteria	None	2.0	1.0	2.0	6.0	None	3.0	None	None	2.5	None	1.0	None	3.5	None	None	1.0	None	None	17.0333333333	10.0	1.0	1.0	None	14.0	7.0	7.0	None	None	None	2.0	None	None	None	None	3.0	2.0	None	5.0	1.0	None	None	None	2.0	None	None	None	None	None	4.0	None	None	None	6.0	None	None	2.0	None	None	3.0	None	None	None	1.0	13.0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	1.0	10.4	None	19.5625	22.7272727273	7.16666666667	17.0	14.0	6.0	None	None	None	None	11.5	None	12.0	12.5	7.5	None	11.3333333333	None	6.0	3.5	7.0	5.0	5.0	10.5	None	None	19.0	10.6666666667	7.5	1.0	None	9.0	17.5714285714	9.25	None	None	8.0	24.45	5.5	7.0	None	17.1666666667	None	None	11.5	4.0	19.0	None	None	10.5	10.0	9.25	3.0	None	11.5	5.0	5.0	None	None	4.5	3.0	12.25
superkingdom	Main genome;Bacteria;Halanaerobiaeota	Halanaerobiaeota	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6.0	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	8.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Chlamydiae	Chlamydiae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	1.0	1.0	1.0	None	1.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	2.0	None	None	1.0	1.0	None	None	2.0	None	None	None	None	None	None	None	1.0	None	None	None	1.0	None	None	None	None	None	None	None	None	4.0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	None	None	None	None	None	None	None	2.0	None	None	None	1.0	None	None	1.0	None	None	1.0	None	None	None	None	None
superkingdom	Main genome;Bacteria;Lentisphaerae	Lentisphaerae	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	2.0	None	5.0	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Fusobacteria	Fusobacteria	None	4.5	None	None	1.0	None	1.0	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	4.0	None	None	None	1.0	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5.0	None	None	1.0	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Dependentiae	Dependentiae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0
superkingdom	Main genome;Bacteria;Armatimonadetes	Armatimonadetes	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	None	None	None	None	None	None	2.0	2.0	None	None	16.0625	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	3.0	3.0	None	None	None	None	None	5.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	1.0	1.0	3.0	None	None	None	None	1.0	2.0
